@relation Best.Context.app

@attribute minAcc numeric
@attribute maxAcc numeric
@attribute sdDevAcc numeric
@attribute avgMicAmplitude numeric
@attribute avgSpeed numeric
@attribute class {cycle,walkNoisy,walkSilent,run,stationarySilent,stationaryNoisy}

@data
9.382965,9.382965,0.000017,3289.0625,2,stationaryNoisy
9.436294,9.436294,0.000011,2406.65625,3,stationaryNoisy
9.395845,9.395845,0.000015,1812.351563,3,stationaryNoisy
9.396568,9.396568,0.000002,2711.460938,1,stationaryNoisy
9.400913,9.400913,0.000005,3449.46875,1,stationaryNoisy
9.429287,9.429287,0.000005,3496.390625,1,stationaryNoisy
9.371937,9.371937,0.000008,3077.828125,2,stationaryNoisy
9.441072,9.441072,0.000008,2652.132813,2,stationaryNoisy
9.367169,9.367169,0.000008,3238.6875,2,stationaryNoisy
9.424396,9.424396,0.000001,3484.320313,1,stationaryNoisy
9.400533,9.400533,0.00001,2999.070313,0,stationaryNoisy
9.401601,9.401601,0.000008,2949.726563,1,stationaryNoisy
9.409107,9.409107,0.000001,3132.539063,1,stationaryNoisy
9.4318,9.4318,0.000002,3259.304688,0,stationaryNoisy
9.440375,9.440375,0.000004,3342.71875,1,stationaryNoisy
9.394655,9.394655,0.000001,3042.601563,1,stationaryNoisy
9.417325,9.417325,0.000006,2954.296875,0,stationaryNoisy
9.402911,9.402911,0.000001,3168.117188,0,stationaryNoisy
9.428633,9.428633,0.000002,2946.023438,0,stationaryNoisy
9.407928,9.407928,0.000008,3358.203125,0,stationaryNoisy
9.404856,9.404856,0.000003,3423.984375,0,stationaryNoisy
9.422432,9.422432,0.000003,3450.195313,0,stationaryNoisy
9.424085,9.424085,0.000009,3556.296875,0,stationaryNoisy
9.448089,9.448089,0.000008,3342.53125,0,stationaryNoisy
9.417538,9.417538,0.000006,3836.351563,0,stationaryNoisy
9.417215,9.417215,0.000011,3696.882813,0,stationaryNoisy
9.414077,9.414077,0.000011,3152.40625,2,stationaryNoisy
9.390154,9.390154,0.000007,3275.820313,3,stationaryNoisy
7.397436,7.397436,0.00001,4495.828125,6,walkSilent
